series,country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fixed telephone subscriptions (per 100 people),United Arab Emirates,ARE,32.54871793,31.88070193,31.43788751,30.59748939,29.19291053,26.95726561,24.71018876,22.46003218,22.51208021,19.95798606,17.30394241,20.40395105,21.52234686,22.67922822,22.82392075,24.38378909,24.41847969,24.46281586,24.31109924
Fixed telephone subscriptions (per 100 people),Uruguay,URY,27.98840028,28.59340611,28.45825667,28.22742825,30.00777365,30.28478811,29.67663148,28.97024956,28.71923744,28.47006696,28.6426982,28.63989024,29.91892512,30.93266357,31.84600445,32.42755221,32.52114625,33.08396193,33.44267
Fixed telephone subscriptions (per 100 people),Vietnam,VNM,3.181960819,3.777347788,4.818996231,5.348616558,12.18944755,,10.124993,13.07149434,17.12319641,20.01023581,16.34059548,11.44896028,10.64129627,7.410619192,7.332948237,7.903731231,5.978205651,4.635726174,4.4965804
GDP per capita (current US$),Albania,ALB,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184
GDP per capita (current US$),Algeria,DZA,1764.97383,1740.642423,1781.837365,2103.413058,2609.945608,3113.101094,3478.654871,3950.519369,4923.629265,3883.261271,4480.799271,5455.853529,5592.257099,5499.581487,5493.02559,4177.892515,3946.443977,4044.2766,4114.715061
GDP per capita (current US$),Argentina,ARG,7708.100996,7208.371567,2593.40415,3349.806124,4277.721351,5109.851325,5919.012037,7245.448317,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14591.86338,11683.94962
GDP per capita (current US$),Armenia,ARM,622.7421391,694.4232277,783.2406986,930.1273219,1191.91902,1643.753029,2158.143697,3139.277499,4010.857243,2994.342544,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268,4220.490277
GDP per capita (current US$),Australia,AUS,21679.24784,19490.86111,20082.48327,23447.031,30430.67644,33999.24286,36044.92281,40960.05449,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54066.47127,57395.91947
GDP per capita (current US$),Austria,AUT,24564.45829,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45237.80509,47549.07904,51525.04643
GDP per capita (current US$),Azerbaijan,AZE,655.0974326,703.6838434,763.080638,883.6439965,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171
GDP per capita (current US$),Barbados,BRB,11268.25406,11209.17431,11361.43367,11699.45576,12512.53251,13822.59168,15199.45797,16770.72121,17092.58214,15885.57971,16056.37098,16458.35321,16249.55939,16451.16358,16489.07224,16525.07325,16900.16655,17391.42587,17745.19346
GDP per capita (current US$),Belgium,BEL,23041.53473,22995.15752,24887.56133,30587.66841,35364.37533,36795.97688,38672.70594,44262.896,48106.89292,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41998.33575,44288.50804,47491.32326
GDP per capita (current US$),Brazil,BRA,3749.75325,3156.798718,2829.283192,3070.910491,3637.462389,4790.437088,5886.463588,7348.030794,8831.023117,8597.915352,11286.24302,13245.6125,12370.0242,12300.32488,12112.58821,8814.000987,8710.09669,9925.386238,9001.234249
GDP per capita (current US$),Bulgaria,BGR,1621.242961,1770.913534,2092.957694,2719.497656,3389.707049,3899.907638,4523.050833,5885.104348,7265.735497,6984.965976,6809.898984,7806.348652,7393.189177,7651.817881,7874.260904,7053.603706,7545.790332,8331.058025,9423.558612
GDP per capita (current US$),Cameroon,CMR,649.9918454,651.1009075,707.8875674,865.9581375,1009.94312,1011.880073,1062.137433,1194.06985,1371.746708,1314.706015,1286.515572,1405.094392,1354.545613,1465.638843,1542.620266,1327.503017,1364.33011,1425.107818,1534.491274
GDP per capita (current US$),Canada,CAN,24190.24962,23738.18072,24169.28473,28200.65808,32034.30774,36266.18712,40385.86996,44543.04104,46594.45095,40773.06153,47448.01322,52087.44638,52678.39012,52652.59368,50893.44671,43585.51198,42322.48478,45148.55271,46313.17137
GDP per capita (current US$),Chile,CHL,5074.901624,4574.594421,4446.250505,4772.56282,6194.853107,7598.525121,9464.550243,10502.35452,10751.47967,10208.90676,12808.03459,14637.24024,15351.55133,15842.94081,14670.99676,13574.17183,13753.59444,14999.37009,15924.79424
GDP per capita (current US$),China,CHN,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.969827,3468.304463,3832.235952,4550.453596,5618.132491,6316.918863,7050.64592,7678.599432,8066.942424,8147.938148,8879.438149,9976.676822
GDP per capita (current US$),Colombia,COL,2520.480898,2439.681836,2396.627274,2281.40196,2782.62305,3414.465833,3741.093171,4714.072541,5472.536133,5193.241451,6336.709214,7335.11051,8050.058414,8218.033996,8114.084069,6175.876132,5871.223575,6377.851363,6718.585324
GDP per capita (current US$),Croatia,HRV,4849.534223,5391.091591,6233.053682,8060.257162,9662.775968,10530.21991,11703.33789,13962.84757,16309.43901,14555.99645,13923.62858,14566.63847,13238.10193,13642.19366,13600.19439,11782.89908,12360.48382,13412.33829,14920.19138
GDP per capita (current US$),Czech Republic,CZE,6011.61522,6609.20553,8032.896612,9773.117503,11685.88724,13346.17639,15183.63605,18373.649,22698.85396,19741.59763,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18463.38658,20379.89604,23046.94913
GDP per capita (current US$),Cyprus,CYP,14388.34806,14821.44682,16093.21461,20252.23898,23792.62136,24959.25917,26729.3234,31244.92622,35397.36368,32109.24251,31023.63833,32396.38574,28912.15694,27729.1927,27129.62612,23333.71491,24532.51906,26338.69434,28689.70672
GDP per capita (current US$),Denmark,DNK,30743.54768,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.856,54663.99837,57141.05984,61390.69301
GDP per capita (current US$),Ecuador,ECU,1445.279324,1894.615169,2172.101877,2425.851842,2691.278081,3002.136867,3328.882972,3567.836438,4249.019262,4231.615798,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643,6060.093329,6213.501276,6295.935399
GDP per capita (current US$),"Egypt, Arab Rep.",EGY,1450.476242,1391.707846,1228.937975,1138.664673,1063.003663,1187.51969,1398.190624,1667.843721,2044.527855,2329.23948,2644.817039,2791.954962,3232.648892,3264.378787,3378.831358,3598.970948,3525.020165,2440.510173,2549.132252
GDP per capita (current US$),France,FRA,22364.02939,22433.55571,24177.33517,29568.38595,33741.26515,34760.18777,36443.62344,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43011.2631,36638.18493,37037.37419,38812.16103,41631.09074
GDP per capita (current US$),Germany,DEU,23635.92922,23607.88286,25077.72908,30243.57653,34044.05363,34507.36881,36323.44774,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41139.54457,42098.92045,44349.58966,47639.00344
GDP per capita (current US$),Greece,GRC,12042.95373,12538.17883,14110.31339,18477.57841,21955.10409,22551.73574,24801.15781,28827.32636,31997.28201,29710.9703,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18167.77372,18116.45962,18930.21859,20324.30501
GDP per capita (current US$),Hungary,HUN,4624.281657,5276.033189,6655.333009,8421.103313,10285.79363,11200.57695,11475.82271,13918.96019,15753.47328,13046.48101,13113.52596,14150.96673,12918.24752,13687.2461,14246.1098,12651.56834,12992.37567,14457.60876,16150.77276
GDP per capita (current US$),India,IND,443.3141934,451.5730011,470.9867859,546.7266145,627.7742473,714.8610135,806.7532806,1028.334771,998.522339,1101.96084,1357.563719,1458.103527,1443.879529,1449.605912,1573.881492,1605.605434,1732.564262,1981.65105,2005.863005
GDP per capita (current US$),Ireland,IRL,26241.36461,28227.72753,32541.0986,41106.92527,47631.01066,50878.22361,54306.42932,61359.74138,61262.10056,52105.15248,48715.17686,51848.90973,48917.89756,51590.18845,55492.98268,61995.42278,63197.08237,69822.34718,78621.22796
GDP per capita (current US$),Iceland,ISL,32018.06368,28793.96075,32326.63824,39423.92801,47367.27817,56658.59267,56673.60244,69054.27079,56409.7731,41333.41853,43024.92349,47516.87469,45910.02055,49522.23659,54241.93466,52564.42919,61466.80397,71310.93925,72968.70423
GDP per capita (current US$),Israel,ISR,21043.57493,20306.93224,18435.89476,18979.32345,19896.81774,20566.64549,21837.37849,24924.33095,29567.80388,27715.63681,30693.59308,33669.24647,32511.23785,36309.46883,37678.88977,35776.79517,37321.62404,40541.86209,41719.72544
GDP per capita (current US$),Italy,ITA,20087.59199,20483.21599,22270.14412,27465.6753,31259.7165,32043.14037,33501.65817,37822.66524,40778.34274,37079.75867,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30939.71425,32406.72032,34520.08516
GDP per capita (current US$),Japan,JPN,38532.04088,33846.46564,32289.35054,34808.39092,37688.72234,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38761.81815,38386.51115,39159.42356
GDP per capita (current US$),"Korea, Rep.",KOR,12256.99357,11561.24837,13165.06574,14672.85747,16496.12009,19402.50263,21743.47745,24086.41044,21350.42798,19143.85161,23087.22564,25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33340.26515
GDP per capita (current US$),Moldova,MDA,440.6720307,507.5576584,570.9726454,682.5255088,897.4499588,1034.707058,1183.379211,1531.685476,2111.201495,1899.010117,2437.529978,2942.255949,3045.739874,3322.038436,3328.801449,2732.457113,2880.439281,3509.69345,4233.999556
GDP per capita (current US$),Morocco,MAR,1334.943051,1339.293577,1416.488158,1725.458038,1952.90183,2018.025743,2196.01219,2499.259938,2890.360083,2866.924199,2839.925168,3046.949136,2912.658275,3121.681176,3171.699192,2875.257985,2896.720003,3036.325255,3222.200634
GDP per capita (current US$),Monaco,MCO,82367.99128,83734.77998,90501.3418,108627.3057,123519.806,124193.6056,134044.7012,169961.3839,185721.7942,154762.1994,150725.1941,169020.8878,157515.8991,177664.1156,189422.2188,166011.5091,170028.6557,167517.0597,185829.018
GDP per capita (current US$),Netherlands,NLD,26149.41108,26873.27593,29204.03983,35672.2066,40362.39478,41979.05585,44863.35063,51733.44213,57644.47997,52514.02712,50950.03434,54159.34661,50073.00566,52184.06185,52830.17423,45175.23189,46007.85292,48675.22234,53048.09621
GDP per capita (current US$),Nepal,NPL,229.4902871,246.725629,244.7208237,252.4024323,286.1575938,315.80563,346.9452514,391.3801314,470.4555473,478.1731816,592.4010975,699.4293377,698.4664794,715.923743,743.4133813,792.5528906,777.1475955,911.4442665,1038.651647
GDP per capita (current US$),Nigeria,NGA,567.930736,590.381815,741.7475112,795.3862467,1007.874328,1268.383443,1656.424759,1883.461311,2242.871886,1891.33537,2292.445156,2520.404166,2746.991789,2998.072843,3222.693537,2730.430324,2175.99967,1968.559588,2032.729709
GDP per capita (current US$),Norway,NOR,38131.46061,38542.7151,43084.47247,50134.89077,57603.83602,66810.47852,74148.32008,85139.96045,96944.09561,79977.69708,87693.79007,100600.5624,101524.1419,102913.4508,97019.18275,74355.51586,70459.1825,75496.75406,81734.46557
GDP per capita (current US$),Pakistan,PAK,576.1956006,544.4942738,534.3038828,599.3763227,687.8364171,748.9225846,836.8605211,908.0950906,990.8465996,957.9956808,987.409723,1164.976129,1198.109001,1208.90431,1251.164104,1356.667756,1368.454326,1464.993305,1482.305667
GDP per capita (current US$),Panama,PAN,4060.324493,4046.419981,4126.241558,4267.303325,4592.152614,4916.914994,5348.895292,6166.180721,7154.274496,7576.140467,8082.028459,9358.251475,10722.28363,11889.12763,12796.07004,13630.30797,14343.96363,15150.34561,15592.57368
GDP per capita (current US$),Peru,PER,1955.588006,1941.475632,2021.23974,2145.643183,2417.035501,2729.498682,3154.331237,3606.070435,4220.616969,4196.312793,5082.354757,5869.32308,6528.972218,6756.752769,6672.880255,6229.101696,6204.99726,6710.508029,6941.235848
GDP per capita (current US$),Paraguay,PRY,1663.605252,1565.053712,1300.851426,1365.416418,1679.497171,1843.633791,2271.090038,2976.825503,4041.583876,3624.571058,4355.934939,5322.96376,5183.082877,5926.832863,6102.943233,5406.703857,5319.410218,5680.580768,5805.675616
GDP per capita (current US$),Poland,POL,4492.727604,4981.198619,5196.932921,5693.377763,6681.178818,8020.963164,9038.654807,11255.37983,14001.38156,11527.53442,12599.53358,13893.50926,13145.53926,13781.06261,14347.91458,12572.4266,12431.81589,13861.30936,15460.64428
GDP per capita (current US$),Portugal,PRT,11497.75346,11724.6115,12875.32079,15762.97579,18031.00042,18773.12536,19822.84603,22782.09462,24847.54514,23059.79745,22498.69086,23186.91313,20564.88986,21647.04181,22074.30076,19242.36647,19978.40121,21490.42986,23461.57186
GDP per capita (current US$),Philippines,PHL,1072.809064,990.5638962,1036.159313,1048.008192,1121.489632,1244.349041,1452.438656,1744.640313,1991.231542,1905.894711,2217.474009,2450.733656,2694.305473,2871.430902,2959.648452,3001.040371,3073.653615,3123.234229,3252.092324
GDP per capita (current US$),Qatar,QAT,29976.11704,28517.26721,30214.85901,34517.75509,42124.82901,51455.59419,59530.15354,65421.75277,80234.47007,59094.44494,67403.1603,82409.58033,85076.14793,85050.91097,83858.52838,63039.01655,57163.06099,61264.39648,68793.78444
GDP per capita (current US$),Russian Federation,RUS,1771.594059,2100.352512,2377.529577,2975.125353,4102.364833,5323.463083,6920.189125,9101.255049,11635.27293,8562.813277,10674.99578,14311.08432,15420.87454,15974.64463,14095.64874,9313.013625,8704.898413,10720.33259,11370.81346
GDP per capita (current US$),Saudi Arabia,SAU,9171.330145,8684.647401,8695.400072,9609.966975,11185.13337,13791.44629,15384.74015,16516.62362,20078.25779,16113.14249,19262.54768,23745.80161,25243.3587,24844.74437,24463.90316,20627.93278,19879.29753,20803.74257,23338.96346
GDP per capita (current US$),Singapore,SGP,23852.32703,21700.02005,22159.68886,23730.15245,27608.53737,29961.26328,33769.15416,39432.93835,40007.46926,38927.20688,47236.96023,53890.42873,55546.48854,56967.42579,57562.53079,55646.61875,56828.29535,60913.74533,66188.7794
GDP per capita (current US$),Slovenia,SVN,10201.30354,10479.75943,11777.15551,14849.03695,17233.13856,18098.90873,19672.96549,23787.64669,27483.33695,24694.23056,23509.54339,25095.13263,22643.10025,23496.60231,24214.92207,20881.76677,21622.58068,23500.75223,26054.5421
GDP per capita (current US$),South Africa,ZAF,3032.427138,2666.47491,2502.277005,3751.282813,4833.627517,5383.656543,5602.011044,6095.622439,5760.805287,5862.79734,7328.615629,8007.412846,7501.469984,6832.456891,6433.187277,5734.633629,5272.918425,6132.479841,6374.028196
GDP per capita (current US$),Spain,ESP,14713.06571,15355.70317,17025.53198,21463.44266,24861.2828,26419.29686,28365.31349,32549.97098,35366.2596,32042.47408,30502.71971,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.34322,28170.43457,30337.67913
GDP per capita (current US$),Switzerland,CHE,37868.32306,38538.99005,41376.39399,48087.58314,53340.14766,54952.67372,57579.50195,63555.2375,72487.84593,69927.46877,74605.72102,88415.62806,83538.23008,85112.4644,86605.56338,82081.59712,80172.23207,80449.99456,82818.10816
GDP per capita (current US$),Sweden,SWE,29624.91267,27247.85773,29899.19525,37321.7979,42821.67314,43437.06312,46593.60216,53700.00534,56152.55234,46946.96027,52869.04429,60755.75955,58037.82132,61126.9432,60020.36046,51545.48361,51965.15715,53791.50873,54589.06039
GDP per capita (current US$),Turkey,TUR,4316.548907,3119.56579,3659.939868,4718.199808,6040.607698,7384.251628,8035.377338,9711.873594,10854.17225,9038.52015,10672.38925,11335.51051,11707.25971,12519.39143,12095.85457,10948.72461,10820.63384,10513.64843,9370.176355
GDP per capita (current US$),United States,USA,36334.90878,37133.24281,38023.16111,39496.48588,41712.80107,44114.74778,46298.73144,47975.96768,48382.55845,47099.98047,48467.51578,49886.81811,51610.60528,53117.66783,55047.72556,56822.51882,57927.51685,59957.72585,62840.02024
GDP per capita (current US$),United Kingdom,GBR,28149.87001,27744.50646,30056.58622,34419.14791,40290.31397,42030.28661,44599.69757,50566.8266,47286.99849,38713.13743,39435.8399,42038.57225,42462.77157,43444.533,47425.60768,44974.83188,41064.13343,40361.41738,43043.22782
GDP per capita (current US$),United Arab Emirates,ARE,33291.41937,31280.78428,31567.47371,33499.09375,36333.24984,39365.4339,41907.40566,41809.51638,44498.93423,32024.1816,33893.30351,39194.67662,40976.49971,42412.63028,43751.83889,38663.38381,38141.84676,40644.80404,43839.35635
GDP per capita (current US$),Uruguay,URY,6875.021328,6284.4559,4090.899267,3624.198052,4120.556611,5226.937806,5887.848703,7026.511491,9091.079039,9451.932449,11992.01663,14236.68119,15171.58466,16973.67421,16831.97294,15613.76427,15387.14403,17322.14739,17277.97011
GDP per capita (current US$),Vietnam,VNM,390.0933261,404.8078662,430.0528671,480.5797992,546.9096058,687.4797356,784.3724223,906.2841981,1149.424642,1217.268555,1317.890706,1525.115988,1735.141276,1886.671896,2030.261955,2085.101484,2192.214539,2365.621666,2566.59695
"Access to electricity, rural (% of rural population)",Albania,ALB,,,,,,,,,,,,,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Algeria,DZA,,,,,,,,,97.93528596,97.4304768,97.43410012,97.56395713,97.67373249,98.5730721,99.47906423,99.76456493,99.96514232,100,100
"Access to electricity, rural (% of rural population)",Argentina,ARG,,91.61913534,95.57994282,96.4787027,97.01456716,97.10138402,96.82659507,96.33054732,95.76410132,95.28949231,90.19592074,92.93182303,94.68142295,94.19935897,100,98.1367605,99.69112008,100,100
"Access to electricity, rural (% of rural population)",Armenia,ARM,98.5339728,100,95.8633128,99.30233097,99.39099691,99.62269974,99.26602493,99.12243441,98.97796316,98.8718413,99.97352293,99.72131823,99.76675838,99.71771402,99.88419814,100,100,100,100
"Access to electricity, rural (% of rural population)",Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Azerbaijan,AZE,98.0660884,97.77881273,100,98.54941087,98.84602319,99.06686479,99.16723545,99.36969836,99.50888816,99.71560386,99.88851802,99.9,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Barbados,BRB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Brazil,BRA,71.89311207,81.87576296,84.11795444,85.32153545,83.4505451,84.83053451,87.16541867,89.77621099,91.85225586,93.61739818,93.46784538,96.19058743,97.22181347,97.50203345,97.91007704,98.23240924,98.46712998,100,100
"Access to electricity, rural (% of rural population)",Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Cameroon,CMR,9.221453678,13.86188834,13.84816518,14.44866523,19.47418342,15.43460346,25.80885678,6.426585695,16.51687484,16.8705521,16.85826036,16.84191989,17.70690906,18.9630391,18.80194461,20.48955607,21.32108601,22.17576825,23.03357378
"Access to electricity, rural (% of rural population)",Canada,CAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Chile,CHL,86.54576942,82.76384011,84.34000081,92.76950894,87.28567199,88.29234416,96.41898514,89.66448249,90.25801322,97.74800126,97.12941689,97.76864595,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",China,CHN,95.1766207,95.80262315,96.19327107,96.56150737,96.8928305,97.17682832,97.4279282,97.68502473,97.991115,98.37411442,99.40914641,99.74616989,99.94791418,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Colombia,COL,83.27282639,80.2156497,81.12500293,81.96046452,82.67712967,88.87290617,83.69445899,84.088659,86.96315804,83.7688342,86.23689145,85.50323587,87.07796847,90.0737705,89.89214922,91.7902476,92.76199455,92.74033924,99.66937437
"Access to electricity, rural (% of rural population)",Croatia,HRV,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Czech Republic,CZE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Cyprus,CYP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Denmark,DNK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Ecuador,ECU,85.06354427,85.89145255,86.75663349,88.12867431,88.37709156,89.64994326,91.09749473,92.18968316,93.27339568,92.28255591,93.67670298,91.9487327,93.05280471,95.4451384,97.50285325,97.0184028,96.78349147,97.79796324,100
"Access to electricity, rural (% of rural population)","Egypt, Arab Rep.",EGY,96.3533119,95.97121478,96.37316738,98.12285113,96.6100905,99.09791305,98.83992426,97.67913819,99.7243827,98.08252516,98.7593891,99.21791785,99.8258394,99.62462665,99.72505554,99.44955868,100,100,100
"Access to electricity, rural (% of rural population)",France,FRA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Germany,DEU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Greece,GRC,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Hungary,HUN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",India,IND,47.72497978,43.48357702,51.4939028,53.78060786,53.7414229,57.67730847,57.32030074,61.50429347,63.43433284,65.70223591,68.37382365,56.08607764,72.40401076,73.66350935,77.30266725,83.36793211,85.36612611,89.31665443,92.92933495
"Access to electricity, rural (% of rural population)",Ireland,IRL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Iceland,ISL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Israel,ISR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Italy,ITA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Japan,JPN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)","Korea, Rep.",KOR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Moldova,MDA,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Morocco,MAR,36.7331978,46.60732721,50.18142031,53.74889634,58.44160738,60.63819057,93.02327545,67.33539347,70.78481513,74.34846663,81.86664506,84.78392132,87.4108177,94.97791556,86.14202872,99.7258364,99.6116679,100,100
"Access to electricity, rural (% of rural population)",Monaco,MCO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Netherlands,NLD,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Nepal,NPL,18.91987741,14.69724546,26.87877327,30.95478462,28.45144452,39.074142,44.08519024,47.19036598,51.28341077,55.42046316,63.18070029,61.71845444,70.56554533,74.4937846,82.05552099,82.74050402,89.81199891,91.109771,93.46991026
"Access to electricity, rural (% of rural population)",Nigeria,NGA,20.89480594,21.49209289,22.07239932,32.700268,23.13695766,23.60252359,24.03392413,25.27853948,25.6212976,25.33674121,23.5367304,31.01918599,27.83716534,31.63459431,29.00144483,25.90397246,33.9704584,22.61743618,30.95084587
"Access to electricity, rural (% of rural population)",Norway,NOR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Pakistan,PAK,58.85054434,58.68589523,58.49616451,58.27193399,58.00207964,57.46080358,57.54648035,57.0663959,56.61628521,56.22199788,55.90475164,55.68036228,55.53702401,55.45513967,55.40634967,55.36900337,55.32779296,54.13683244,54.39318084
"Access to electricity, rural (% of rural population)",Panama,PAN,55.42346843,56.58456289,58.68314926,71.56140363,62.74622638,64.66931819,66.54089814,68.39986051,70.28404903,72.23528031,64.70689303,76.36777145,78.53478593,71.19972582,84.18597629,87.03669513,90.85955138,100,100
"Access to electricity, rural (% of rural population)",Peru,PER,11.08939439,16.09575099,19.45957744,18.49724122,20.89768914,24.63243084,31.05124443,38.68920516,45.41755479,50.95977293,55.63323695,61.30207069,66.16682458,69.90501228,72.7675034,76.69268862,77.97484069,80.49784463,81.7999811
"Access to electricity, rural (% of rural population)",Paraguay,PRY,78.63279501,82.29298028,83.7261662,85.61117,87.5003629,89.643577,94.28484323,93.12618532,93.37661254,94.74184489,94.42690113,96.29149715,95.14150323,97.87321921,97.7289615,98.58271444,96.05128058,98.50801034,100
"Access to electricity, rural (% of rural population)",Poland,POL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Portugal,PRT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Philippines,PHL,61.99304995,63.76825434,65.50976308,63.54471563,84.59814461,70.39697064,71.90833614,73.39417305,74.63317452,76.38852928,78.08313223,81.26670351,81.2101531,81.89969303,84.7397555,83.19498028,88.5723352,90.02316667,92.51480169
"Access to electricity, rural (% of rural population)",Qatar,QAT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Russian Federation,RUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Saudi Arabia,SAU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Singapore,SGP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Slovenia,SVN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",South Africa,ZAF,52.84346781,48.49541152,64.05764935,66.28208628,71.93412864,71.27971511,70.06773495,72.59757616,71.56503465,72.83188857,67.9479513,73.41535384,76.96773499,76.78775067,77.62956389,75.36353142,70.71572237,70.3145301,89.59881919
"Access to electricity, rural (% of rural population)",Spain,ESP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Switzerland,CHE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Sweden,SWE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",Turkey,TUR,,,,,,,,,,,100,99.88871787,99.97735753,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",United States,USA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Access to electricity, rural (% of rural population)",United Kingdom,GBR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
